Date,ExpAge,MeadowLocation,Treatment,Site_no,Site_name,EdgeDistance,StemDensity_QrtMeter
5/25/2021,11,Central,Treatment,3,3T,1.5,22
5/25/2021,11,Central,Treatment,3,3T,2.5,11
5/25/2021,11,Northern,Control,4,4C,0.5,77
5/25/2021,11,Northern,Control,4,4C,1.5,67
5/25/2021,11,Northern,Control,4,4C,2.5,61
5/25/2021,11,Northern,Treatment,4,4T,0.5,18
5/25/2021,11,Northern,Treatment,4,4T,1.5,14
5/25/2021,11,Northern,Treatment,4,4T,2.5,31
5/25/2021,11,Northern,Control,5,5C,0.5,63
5/25/2021,11,Northern,Control,5,5C,1.5,75
5/25/2021,11,Northern,Control,5,5C,2.5,67
5/25/2021,11,Northern,Treatment,5,5T,0.5,29
5/25/2021,11,Northern,Treatment,5,5T,1.5,18
5/25/2021,11,Northern,Treatment,5,5T,2.5,11
5/25/2021,11,Northern,Control,6,6C,0.5,48
5/25/2021,11,Northern,Control,6,6C,1.5,49
5/25/2021,11,Northern,Control,6,6C,2.5,53
5/25/2021,11,Northern,Treatment,6,6T,0.5,24
5/25/2021,11,Northern,Treatment,6,6T,1.5,18
5/25/2021,11,Northern,Treatment,6,6T,2.5,14
6/23/2021,12,Central,Control,1,1C,0.5,105
6/23/2021,12,Central,Control,1,1C,1.5,90
6/23/2021,12,Central,Control,1,1C,2.5,109
6/23/2021,12,Central,Treatment,1,1T,0.5,64
6/23/2021,12,Central,Treatment,1,1T,1.5,47
6/23/2021,12,Central,Treatment,1,1T,2.5,28
6/23/2021,12,Central,Control,2,2C,0.5,118
6/23/2021,12,Central,Control,2,2C,1.5,103
6/23/2021,12,Central,Control,2,2C,2.5,107
6/23/2021,12,Central,Treatment,2,2T,0.5,57
6/23/2021,12,Central,Treatment,2,2T,1.5,48
6/23/2021,12,Central,Treatment,2,2T,2.5,39
6/23/2021,12,Central,Control,3,3C,0.5,111
6/23/2021,12,Central,Control,3,3C,1.5,116
6/23/2021,12,Central,Control,3,3C,2.5,85
6/23/2021,12,Central,Treatment,3,3T,0.5,66
6/23/2021,12,Central,Treatment,3,3T,1.5,72
6/23/2021,12,Central,Treatment,3,3T,2.5,59
6/23/2021,12,Northern,Control,4,4C,0.5,124
6/23/2021,12,Northern,Control,4,4C,1.5,130
6/23/2021,12,Northern,Control,4,4C,2.5,101
6/23/2021,12,Northern,Treatment,4,4T,0.5,38
6/23/2021,12,Northern,Treatment,4,4T,1.5,26
6/23/2021,12,Northern,Treatment,4,4T,2.5,68
6/23/2021,12,Northern,Control,5,5C,0.5,127
6/23/2021,12,Northern,Control,5,5C,1.5,128
6/23/2021,12,Northern,Control,5,5C,2.5,118
6/23/2021,12,Northern,Treatment,5,5T,0.5,44
6/23/2021,12,Northern,Treatment,5,5T,1.5,33
6/23/2021,12,Northern,Treatment,5,5T,2.5,41
6/23/2021,12,Northern,Control,6,6C,0.5,106
6/23/2021,12,Northern,Control,6,6C,1.5,98
6/23/2021,12,Northern,Control,6,6C,2.5,110
6/23/2021,12,Northern,Treatment,6,6T,0.5,36
6/23/2021,12,Northern,Treatment,6,6T,1.5,41
6/23/2021,12,Northern,Treatment,6,6T,2.5,16
7/21/2021,13,Central,Control,1,1C,0.5,129
7/21/2021,13,Central,Control,1,1C,1.5,133
7/21/2021,13,Central,Control,1,1C,2.5,111
7/21/2021,13,Central,Treatment,1,1T,0.5,55
7/21/2021,13,Central,Treatment,1,1T,1.5,33
7/21/2021,13,Central,Treatment,1,1T,2.5,43
7/21/2021,13,Central,Control,2,2C,0.5,112
7/21/2021,13,Central,Control,2,2C,1.5,118
7/21/2021,13,Central,Control,2,2C,2.5,123
7/21/2021,13,Central,Treatment,2,2T,0.5,85
7/21/2021,13,Central,Treatment,2,2T,1.5,77
7/21/2021,13,Central,Treatment,2,2T,2.5,56
7/21/2021,13,Central,Control,3,3C,0.5,137
7/21/2021,13,Central,Control,3,3C,1.5,126
7/21/2021,13,Central,Control,3,3C,2.5,107
7/21/2021,13,Central,Treatment,3,3T,0.5,87
7/21/2021,13,Central,Treatment,3,3T,1.5,83
7/21/2021,13,Central,Treatment,3,3T,2.5,67
7/21/2021,13,Northern,Control,4,4C,0.5,137
7/21/2021,13,Northern,Control,4,4C,1.5,121
7/21/2021,13,Northern,Control,4,4C,2.5,108
7/21/2021,13,Northern,Treatment,4,4T,0.5,56
7/21/2021,13,Northern,Treatment,4,4T,1.5,62
7/21/2021,13,Northern,Treatment,4,4T,2.5,55
7/21/2021,13,Northern,Control,5,5C,0.5,125
7/21/2021,13,Northern,Control,5,5C,1.5,142
7/21/2021,13,Northern,Control,5,5C,2.5,122
7/21/2021,13,Northern,Treatment,5,5T,0.5,54
7/21/2021,13,Northern,Treatment,5,5T,1.5,63
